CustomerKey,FullName,AddressLine1,Year,Quarter,Month,Day,Education,HouseOwnerFlag,MaritalStatus,NumberCarsOwned,Occupation,TotalChildren,YearlyIncome
11000,"Yang, Jon",3761 N. 14th St,1966,Qtr 2,April,8,Bachelors,1,M,0,Professional,2,$90000
11001,"Huang, Eugene",2243 W St.,1965,Qtr 2,May,14,Bachelors,0,S,1,Professional,3,$60000
11002,"Torres, Ruben",5844 Linden Land,1965,Qtr 3,August,12,Bachelors,1,M,1,Professional,3,$60000
11003,"Zhu, Christy",1825 Village Pl.,1968,Qtr 1,February,15,Bachelors,0,S,1,Professional,0,$70000
11004,"Johnson, Elizabeth",7553 Harness Circle,1968,Qtr 3,August,8,Bachelors,1,S,4,Professional,5,$80000
11005,"Ruiz, Julio",7305 Humphrey Drive,1965,Qtr 3,August,5,Bachelors,1,S,1,Professional,0,$70000
11006,"Alvarez, Janet",2612 Berry Dr,1965,Qtr 4,December,6,Bachelors,1,S,1,Professional,0,$70000
11007,"Mehta, Marco",942 Brook Street,1964,Qtr 2,May,9,Bachelors,1,M,2,Professional,3,$60000
11008,"Verhoff, Rob",624 Peabody Road,1964,Qtr 3,July,7,Bachelors,1,S,3,Professional,4,$60000
11009,"Carlson, Shannon",3839 Northgate Road,1964,Qtr 2,April,1,Bachelors,0,S,1,Professional,0,$70000
11010,"Suarez, Jacquelyn",7800 Corrinne Court,1964,Qtr 1,February,6,Bachelors,0,S,1,Professional,0,$70000
11011,"Lu, Curtis",1224 Shoenic,1963,Qtr 4,November,4,Bachelors,1,M,4,Professional,4,$60000
11012,"Walker, Lauren",4785 Scott Street,1968,Qtr 1,January,18,Bachelors,1,M,2,Management,2,$100000
11013,"Jenkins, Ian",7902 Hudson Ave.,1968,Qtr 3,August,6,Bachelors,1,M,3,Management,2,$100000
11014,"Bennett, Sydney",9011 Tank Drive,1968,Qtr 2,May,9,Bachelors,0,S,3,Management,3,$100000
11015,"Young, Chloe",244 Willow Pass Road,1979,Qtr 1,February,27,Partial College,0,S,1,Skilled Manual,0,$30000
11016,"Hill, Wyatt",9666 Northridge Ct.,1979,Qtr 2,April,28,Partial College,1,M,1,Skilled Manual,0,$30000
11017,"Wang, Shannon",7330 Saddlehill Lane,1944,Qtr 2,June,26,High School,1,S,2,Skilled Manual,4,$20000
11018,"Rai, Clarence",244 Rivewview,1944,Qtr 4,October,9,Partial College,1,S,2,Clerical,2,$30000
